代码,名称,涨幅%,现价,涨跌,买价,卖价,总量,现量,涨速%,换手%,今开,最高,最低,昨收,市盈(动),总金额,量比
920016,N中草,241.3,25.6,18.1,25.6,25.61,153722,649,-8.56,98.36,12.49,45,12.2,7.5,37.25,24727.28,0
430198,微创光电,29.92,6.21,1.43,6.21,-1,129350,366,0,18.41,4.77,6.21,4.76,4.78,-1,7635.48,17.15
300635,中达安,20.05,9.82,1.64,9.82,-1,223227,2203,0,18.59,8.2,9.82,8.1,8.18,144.93,20830.57,2.2
300746,汉嘉设计,20.02,11.39,1.9,11.39,-1,405195,134,0,18.26,10.73,11.39,10.31,9.49,345.58,44838.12,6.39
300067,安诺其,20,4.08,0.68,4.08,-1,1602042,27787,0,17.09,3.35,4.08,3.28,3.4,211.68,60358.46,3
300072,海新能科,19.79,2.24,0.37,2.24,-1,942972,6532,0,4.04,1.88,2.24,1.84,1.87,-1,19882.23,6.65
300210,森远股份,17.21,9.06,1.33,9.06,9.07,718500,4957,-0.21,14.86,7.95,9.28,7.85,7.73,-1,63528.05,3.87
836149,旭杰科技,12.75,6.72,0.76,6.72,6.75,161964,1099,-2.6,33.83,5.91,7.74,5.91,5.96,25.87,10872.48,4.45
300197,节能铁汉,11.81,1.42,0.15,1.41,1.42,1698020,18161,0,6.09,1.27,1.49,1.26,1.27,-1,23708.09,5.25
873001,纬达光电,10.88,8.05,0.79,8.04,8.05,83264,1532,0.5,9.39,7.3,8.25,7.12,7.26,39.3,6530.14,3.48
873693,阿为特,10.59,22.34,2.14,22.34,22.42,25405,243,-0.39,11.39,20.22,24.31,20.12,20.2,66.77,5636.48,5.34
002717,岭南股份,10.37,1.49,0.14,1.49,-1,2451186,6870,0,16.72,1.39,1.49,1.37,1.35,-1,35660.14,0.82
300270,中威电子,10.21,5.72,0.53,5.71,5.72,344010,4110,0.18,13.41,5.19,6.22,5.14,5.19,-1,19505.08,5.39
600716,凤凰股份,10.2,2.81,0.26,2.81,-1,622132,483,0,6.65,2.58,2.81,2.56,2.55,-1,17069.62,12.17
000599,青岛双星,10.15,3.69,0.34,3.69,-1,180375,770,0,2.21,3.35,3.69,3.35,3.35,-1,6487.65,4.09
600439,瑞贝卡,10.14,2.39,0.22,2.39,-1,292251,815,0,2.58,2.35,2.39,2.35,2.17,166.37,6970,2
600237,铜峰电子,10.11,5.01,0.46,5.01,-1,254452,9051,0,4.21,4.54,5.01,4.47,4.55,33.93,12154.29,3.3
002207,准油股份,10.09,4.91,0.45,4.91,-1,298951,760,0,11.46,4.5,4.91,4.41,4.46,-1,14125.48,2.62
600719,大连热电,10.06,5.25,0.48,5.25,-1,414629,2673,0,10.25,4.83,5.25,4.76,4.77,-1,21144.27,3.57
001236,弘业期货,10.06,8.97,0.82,8.97,-1,249893,837,0,7.66,8.09,8.97,8.06,8.15,353.1,21988.62,0.55
000702,正虹科技,10.04,4.93,0.45,4.93,-1,363779,672,0,13.64,4.72,4.93,4.49,4.48,-1,17221.62,2.03
000761,本钢板材,10.04,2.52,0.23,2.52,-1,205030,1028,0,0.55,2.32,2.52,2.29,2.29,-1,5014.03,2.64
600198,大唐电信,10.04,5.81,0.53,5.81,-1,273872,1691,0,3.11,5.33,5.81,5.28,5.28,-1,15581.48,3.69
002162,悦心健康,10.04,3.07,0.28,3.07,-1,269158,12666,0,2.93,2.79,3.07,2.78,2.79,581.63,7979.34,1.81
600658,电子城,10.03,3.29,0.3,3.29,-1,75046,1956,0,0.67,3.29,3.29,3.29,2.99,-1,2469.02,1.05
600992,贵绳股份,10.02,14.28,1.3,14.28,-1,123675,239,0,5.05,13.14,14.28,13.09,12.98,192.04,17431.53,3.02
603016,新宏泰,10.01,17.47,1.59,17.47,-1,73082,60,0,4.93,17.47,17.47,16.5,15.88,34.39,12702,4.73
600463,空港股份,10.01,9.78,0.89,9.78,-1,234745,1220,0,7.82,9.01,9.78,9,8.89,-1,22370.81,4.62
601162,天风证券,10,2.97,0.27,2.97,-1,12796534,11014,0,14.77,2.69,2.97,2.68,2.7,-1,372110.34,1.68
600449,宁夏建材,10,10.12,0.92,10.12,-1,95140,260,0,1.99,9.25,10.12,9.22,9.2,46.09,9435.85,2.26
600396,华电辽能,10,2.31,0.21,2.31,-1,476128,8007,0,3.23,2.12,2.31,2.11,2.1,14.14,10667.6,4.6
000717,中南股份,10,1.87,0.17,1.87,-1,778347,1714,0,3.21,1.74,1.87,1.7,1.7,-1,14231.92,5.75
000627,天茂集团,10,3.41,0.31,3.41,-1,2516532,6385,0,5.53,3.11,3.41,3.1,3.1,-1,83821.88,0.92
000536,华映科技,10,3.63,0.33,3.63,-1,6659492,27445,0.55,24.1,3.63,3.63,2.97,3.3,-1,220293.86,6.53
603398,沐邦高科,9.99,17.17,1.56,17.17,-1,245313,852,0.53,5.66,15.61,17.17,15.61,15.61,-1,41267.21,2.34
002693,双成药业,9.98,6.94,0.63,6.94,-1,28754,475,0,0.7,6.94,6.94,6.94,6.31,-1,1995.52,0.22
000948,南天信息,9.97,16.32,1.48,16.32,-1,855952,720,0,22.18,15.3,16.32,15.22,14.84,126.68,136907.76,4.32
000736,中交地产,9.97,8.16,0.74,8.16,-1,563473,900,0,8.1,7.43,8.16,7.42,7.42,-1,45290.88,3.95
600272,开开实业,9.97,10.48,0.95,10.48,-1,274532,428,0,17.16,9.53,10.48,9.29,9.53,41.06,28122.84,1.4
000678,襄阳轴承,9.95,4.86,0.44,4.86,-1,549481,2657,0,11.96,4.39,4.86,4.27,4.42,-1,25275.32,1.41
600550,保变电气,9.95,8.51,0.77,8.51,-1,2035492,31126,0,11.05,7.68,8.51,7.43,7.74,343.89,166040.24,0.97
002871,伟隆股份,9.95,8.51,0.77,8.51,-1,77503,109,0,6.49,7.76,8.51,7.72,7.74,18.21,6439.02,4.23
000850,华茂股份,9.94,3.65,0.33,3.65,-1,637419,1164,0,6.76,3.3,3.65,3.25,3.32,84.68,22550.62,1.29
000566,海南海药,9.92,5.43,0.49,5.43,-1,1220372,68723,0,10.47,5.43,5.43,5.36,4.94,-1,66262.48,1.98
600082,海泰发展,9.9,2.22,0.2,2.22,-1,359467,1275,0,5.67,2.05,2.22,2.05,2.02,-1,7855,6.73
002183,怡 亚 通,9.89,3.11,0.28,3.11,-1,882760,4908,0,3.4,2.83,3.11,2.8,2.83,98,26625.8,6.36
000720,新能泰山,9.87,2.56,0.23,2.56,-1,352755,1801,0,2.81,2.33,2.56,2.31,2.33,-1,8836.33,5.93
600691,阳煤化工,9.87,1.67,0.15,1.67,-1,545918,3271,0,2.3,1.51,1.67,1.5,1.52,-1,8717.06,3.06
600490,鹏欣资源,9.81,2.35,0.21,2.35,-1,368161,2272,0,1.85,2.35,2.35,2.35,2.14,-1,8651.77,1.51
301311,昆船智能,9.72,19.53,1.73,19.53,19.54,206791,3795,0.62,23.7,18.01,20.2,17.6,17.8,-1,39381.72,1.76
300080,易成新能,9.28,3.18,0.27,3.17,3.18,844060,10606,1.27,6.51,2.99,3.48,2.99,2.91,-1,27450.84,5.67
300668,杰恩设计,8.87,17.8,1.45,17.76,17.8,32088,1132,1.14,3.63,16.53,18.8,16.41,16.35,367.77,5683.42,3.1
688205,德科立,8.56,32.1,2.53,32.1,32.14,47535,488,-0.3,7.01,29.57,32.98,29.57,29.57,35.8,15152.12,2.97
300006,莱美药业,7.94,2.99,0.22,2.98,2.99,689563,7668,1.01,6.53,2.72,3.2,2.64,2.77,1188.7,20297.01,1.92
603988,中电电机,7.65,11.12,0.79,11.12,11.13,407234,2102,0.36,17.31,10.65,11.36,10.65,10.33,-1,45572.34,2
300308,中际旭创,7.35,115.94,7.94,115.93,115.94,352840,3319,-0.04,3.16,108.3,116.7,108.27,108,27.56,402934.86,1.62
000953,河化股份,7.23,3.56,0.24,3.55,3.56,355393,2322,0,9.71,3.38,3.65,3.33,3.32,247.16,12379.79,2.91
300912,凯龙高科,7.1,10.11,0.67,10.11,10.12,100681,2711,0.3,11.83,9.48,10.84,9.48,9.44,-1,10099.85,6.03
600838,上海九百,7.1,6.64,0.44,6.63,6.64,615596,6931,-1.18,15.36,6.2,6.82,5.98,6.2,56.08,39465.27,1.63
300341,麦克奥迪,7.05,9.42,0.62,9.41,9.42,339042,3380,-0.31,6.58,9.02,10.46,9.01,8.8,31.46,32105.64,2.05
000677,恒天海龙,6.85,2.65,0.17,2.64,2.65,530241,3485,0,6.14,2.48,2.73,2.47,2.48,43.74,14120.4,5.17
873122,中纺标,6.84,38.88,2.49,38.86,38.88,43462,717,-0.27,12.75,36.23,44.2,36,36.39,289.31,17018.79,2.29
603499,翔港科技,6.81,15.06,0.96,15.06,15.08,86023,841,0.27,3.98,14.05,15.35,13.85,14.1,110.59,12593.8,3.14
001267,汇绿生态,6.77,5.05,0.32,5.04,5.05,421122,4715,-0.19,11.6,4.86,5.2,4.85,4.73,151.91,21256.95,1.4
300208,*ST中程,6.71,1.75,0.11,1.74,1.75,256526,3509,0,3.73,1.67,1.81,1.65,1.64,-1,4505.85,2.33
002463,沪电股份,6.66,33.97,2.12,33.97,33.98,712510,5442,-0.05,3.73,31.66,34.15,31.66,31.85,28.49,239404.47,1.83
000036,华联控股,6.64,3.05,0.19,3.04,3.05,208763,6895,0.33,1.41,2.86,3.05,2.86,2.86,68.46,6204.21,3.83
300247,融捷健康,6.64,2.57,0.16,2.57,2.58,366546,27491,0.78,4.56,2.43,2.57,2.39,2.41,36.03,9132.65,2.16
600107,美尔雅,6.57,3.57,0.22,3.56,3.57,139454,1923,0.56,3.87,3.4,3.64,3.31,3.35,-1,4873.89,2.07
300071,福石控股,6.38,2.5,0.15,2.49,2.5,663309,8724,-0.39,7.17,2.36,2.65,2.32,2.35,289.2,16594.28,2.51
837748,路桥信息,6.35,13.06,0.78,13.06,13.08,17635,295,0.62,13.13,12.57,13.56,11.9,12.28,-1,2273.1,4.48
301006,迈拓股份,6.34,12.75,0.76,12.75,12.76,97765,1086,0.55,11.36,11.86,13.38,11.68,11.99,27.79,12173.19,2.21
832171,志晟信息,6.33,6.05,0.36,6.04,6.05,32924,1459,0.17,4.89,5.69,6.24,5.4,5.69,-1,1927.81,3.96
600421,华嵘控股,6.25,6.8,0.4,6.8,6.81,98065,1463,1.04,5.01,6.4,6.98,6.4,6.4,-1,6524.08,1.15
430090,同辉信息,6.2,2.74,0.16,2.73,2.74,52874,1283,0.37,3.08,2.6,2.81,2.55,2.58,-1,1421.05,3.56
000972,中基健康,6.11,2.43,0.14,2.43,2.44,481840,4510,0.41,6.25,2.3,2.51,2.25,2.29,79.41,11556.29,5.25
688593,新相微,6.06,8.57,0.49,8.56,8.57,65074,504,-0.57,2.04,8.08,8.88,8.08,8.08,-1,5568.26,7.58
600106,重庆路桥,6.06,3.85,0.22,3.84,3.85,511788,4683,0,3.85,3.74,3.89,3.71,3.63,26.2,19567.69,4.01
872808,曙光数创,6,28.1,1.59,28.1,28.15,18087,178,-0.27,0.93,26.64,29,26.1,26.51,-1,5050.14,3.75
839946,华阳变速,6,4.42,0.25,4.42,4.43,147915,1568,-0.22,14.89,4.21,4.69,4.04,4.17,-1,6420.23,1.37
300344,立方数科,5.88,3.78,0.21,3.77,3.78,1039525,11534,1.07,16.26,3.55,3.98,3.36,3.57,-1,38280.78,2.52
600187,国中水务,5.86,3.25,0.18,3.24,3.25,3806622,24835,-0.6,23.59,3.1,3.38,3.07,3.07,506.27,122487.13,1.79
831278,泰德股份,5.64,4.31,0.23,4.31,4.32,47880,692,-0.22,4.91,4.1,4.47,4.08,4.08,19.72,2054.8,4.77
872374,云里物里,5.63,11.64,0.62,11.63,11.64,49916,784,0.09,17.09,10.82,12.25,10.63,11.02,26.52,5623.2,2.41
600830,香溢融通,5.61,8.09,0.43,8.09,8.1,290096,2141,0,6.39,7.65,8.26,7.63,7.66,43.16,23501.87,2.6
000014,沙河股份,5.59,8.5,0.45,8.49,8.5,168348,1222,-0.11,6.96,8.54,8.81,8.29,8.05,19.01,14429.07,5.1
300176,派生科技,5.56,5.51,0.29,5.51,5.52,259506,4974,0.73,6.7,5.14,5.8,5.1,5.22,56.52,13990.63,1.95
300797,钢研纳克,5.54,9.91,0.52,9.9,9.91,202425,3593,-0.09,5.44,9.4,10,9.21,9.39,39.4,19704.52,1.96
300886,华业香料,5.53,17.76,0.93,17.73,17.76,28978,554,-0.66,6.67,16.83,18.85,16.66,16.83,48.17,5113.29,4.21
688265,南模生物,5.49,22.5,1.17,22.36,22.5,9894,459,0,2,21.33,22.68,19.97,21.33,-1,2134.3,4.87
002017,东信和平,5.48,8.47,0.44,8.46,8.47,431916,5103,0.24,7.45,8.07,8.83,8.07,8.03,31,36756.36,5.35
300076,GQY视讯,5.45,3.87,0.2,3.87,3.88,398690,8666,0.78,9.4,3.68,3.97,3.64,3.67,-1,15175.62,2.04
300502,新易盛,5.37,100.33,5.11,100.33,100.42,383271,13889,-1.62,6.12,95.41,104.9,95.3,95.22,41.1,387655.32,1.9
600601,方正科技,5.3,2.78,0.14,2.78,2.79,1491031,8315,-0.35,3.58,2.64,2.9,2.63,2.64,38.73,41438.36,2.93
920118,太湖远大,5.29,17.9,0.9,17.89,17.9,37719,360,-0.05,26.25,17,19.3,16.85,17,11.94,6839.14,3.7
300030,阳普医疗,5.24,6.63,0.33,6.62,6.63,965738,12944,-1.03,35.48,5.68,7.43,5.68,6.3,-1,63635.48,2.04
830964,润农节水,5.17,2.85,0.14,2.84,2.85,63891,353,0.35,3.56,2.7,2.9,2.7,2.71,37.39,1807.26,5.17
301137,哈焊华通,5.11,16.04,0.78,16.04,16.05,161078,2896,0.56,15.84,14.96,16.18,14.74,15.26,102.11,25360.21,1.29
